text,fallacy,subcategory,id,F1_negative_consequence,F2_unspecified_threat,F3_catastrophic_vocabulary,F4_scope_generalisation,F5_intensity_exaggeration,F6_epistemic_reinforcement,F7_immediacy,F8_necessity,F9_metaphor_or_imagery,F10_addressee_impact,F11_urgency,P1_popularity_as_support,P2_popularity_as_evidence,P3_vague_group_reference,P4_popularity_markers,P5_lack_of_independent_reasons,P6_conformity_pressure,P7_identity_or_belonging,P8_group_ambiguity_or_irrelevance
"The only thing, Jim, they have to offer is fear.",Appeal to Emotion,Appeal to fear,52,0.7,0.8,0.1,0.6,0.3,0.2,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2
They want them to be able to drink clean water and breathe clean air. They don't want them to live next to toxic waste sites.,Appeal to Emotion,Appeal to fear,53,0.7,0.1,0.2,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.5
They want them to be able to drink clean water and breathe clean air. They don't want them to live next to toxic waste sites.,Appeal to Emotion,Appeal to fear,54,0.8,0.1,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.4
That is a reign of terror. It's happening.,Appeal to Emotion,Appeal to fear,55,0.8,0.9,1.0,0.0,0.8,0.2,0.9,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
That is a reign of terror. It's happening.,Appeal to Emotion,Appeal to fear,56,0.9,0.8,1.0,0.0,0.9,0.2,0.9,0.0,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
It is extremely risky.,Appeal to Emotion,Appeal to fear,57,0.8,0.9,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A commission is fine, but a commission would not do any good if we adopted this risky $550-billion tax scheme. The word ""scary"" has been used.",Appeal to Emotion,Appeal to fear,58,0.8,0.6,0.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1
"A commission is fine, but a commission would not do any good if we adopted this risky $550-billion tax scheme. The word ""scary"" has been used.",Appeal to Emotion,Appeal to fear,59,0.7,0.6,0.3,0.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"But if you're a younger worker, if you're younger, you better hope this country thinks differently, otherwise you're gonna be faced with huge payroll taxes or reduced benefits.",Appeal to Emotion,Appeal to fear,60,1.0,0.2,0.1,0.7,0.6,0.5,0.2,0.0,0.0,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
That's why we're losing—we're losing—we lose on everything.,Appeal to Emotion,Appeal to fear,61,0.9,0.8,0.0,0.8,0.7,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"We've seen, in this world, a development of a tremendous threat to us.",Appeal to Emotion,Appeal to fear,62,0.9,1.0,0.8,0.2,0.8,0.2,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
"We've seen, in this world, a development of a tremendous threat to us.",Appeal to Emotion,Appeal to fear,63,0.9,1.0,0.8,0.2,0.8,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I also - know that as far as the human beings on this earth are concerned that the nonproliferation of atomic weapons is number one.,Appeal to Emotion,Appeal to fear,64,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.6,0.5,0.8,0.4,0.6,0.0,0.0,0.7
"After 9/11, I went to work with Republican mayor, governor and president to rebuild New York and to get health care for our first responders who were suffering because they had run toward danger and gotten sickened by it.",Appeal to Emotion,Appeal to fear,65,0.7,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
And the reason they blame Russia because they think they’re trying to tarnish me with Russia.,Appeal to Emotion,Appeal to fear,66,0.5,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4
"I have a few African-American friends who have gone through this horror and, you know, it makes me want to kind of hit the wall because it's such an assault on their humanity and their citizenship. We can't tolerate it anymore.",Appeal to Emotion,Appeal to fear,67,0.9,0.3,0.7,0.2,0.6,0.0,0.3,0.6,0.5,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I have a few African-American friends who have gone through this horror and, you know, it makes me want to kind of hit the wall because it's such an assault on their humanity and their citizenship. We can't tolerate it anymore.",Appeal to Emotion,Appeal to fear,68,0.9,0.6,0.8,0.2,0.7,0.0,0.4,0.6,0.7,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I have a few African-American friends who have gone through this horror and, you know, it makes me want to kind of hit the wall because it's such an assault on their humanity and their citizenship. We can't tolerate it anymore.",Appeal to Emotion,Appeal to fear,69,0.9,0.3,0.7,0.2,0.8,0.0,0.6,0.5,0.6,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I have a few African-American friends who have gone through this horror and, you know, it makes me want to kind of hit the wall because it's such an assault on their humanity and their citizenship. We can't tolerate it anymore.",Appeal to Emotion,Appeal to fear,70,0.9,0.4,0.8,0.3,0.7,0.0,0.3,0.4,0.7,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"You're not going to have the opportunities; there are going to be more deficits, more drugs, more crime, and less confidence in the American people.",Appeal to Emotion,Appeal to fear,71,1.0,0.4,0.2,0.9,0.5,0.7,0.3,0.0,0.0,0.9,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
"You're not going to have the opportunities; there are going to be more deficits, more drugs, more crime, and less confidence in the American people.",Appeal to Emotion,Appeal to fear,72,1.0,0.3,0.2,0.9,0.4,0.7,0.2,0.0,0.0,0.9,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1
You are robbing the American people of their savings.,Appeal to Emotion,Appeal to fear,73,0.9,0.2,0.1,0.9,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1
"To think that Sam Nunn of Georgia or Colin Powell helped put together the coalition in the Persian Gulf were not even consulted. It was not only precipitous, it was a sign, not of strength, but of weakness.",Appeal to Emotion,Appeal to fear,74,0.4,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"To think that Sam Nunn of Georgia or Colin Powell helped put together the coalition in the Persian Gulf were not even consulted. It was not only precipitous, it was a sign, not of strength, but of weakness.",Appeal to Emotion,Appeal to fear,75,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The American people had lost faith and trust and confidence in the presidency itself.,Appeal to Emotion,Appeal to fear,76,0.2,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1
The American people had lost faith and trust and confidence in the presidency itself.,Appeal to Emotion,Appeal to fear,77,0.6,0.2,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1
"And it's important for America to confront the situation in Iran, because Iran is an enormous threat to Israel and to the Israeli people.",Appeal to Emotion,Appeal to fear,78,0.8,0.8,0.3,0.7,0.6,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"And it's important for America to confront the situation in Iran, because Iran is an enormous threat to Israel and to the Israeli people.",Appeal to Emotion,Appeal to fear,79,0.8,0.8,0.2,0.7,0.6,0.0,0.0,0.6,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I think if you raise taxes during a recession, you head to depression.",Appeal to Emotion,Appeal to fear,80,0.9,0.3,0.8,0.7,0.6,0.2,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
It will come from the pockets of the people,Appeal to Emotion,Appeal to fear,81,0.6,0.7,0.0,0.8,0.0,0.4,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.6
It will come from the pockets of the people who are living in those very areas.,Appeal to Emotion,Appeal to fear,82,0.4,0.5,0.0,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2
"And if Iraq were to fail, it'd be a haven for terrorists, and there would be money and the world would be much more dangerous.",Appeal to Emotion,Appeal to fear,83,1.0,0.6,0.3,0.8,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"And if Iraq were to fail, it'd be a haven for terrorists, and there would be money and the world would be much more dangerous.",Appeal to Emotion,Appeal to fear,84,1.0,0.4,0.4,0.9,0.5,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"These terrorists are serious, they're deadly, and they know nothing except trying to kill.",Appeal to Emotion,Appeal to fear,85,0.9,0.2,0.7,0.9,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2
"These terrorists are serious, they're deadly, and they know nothing except trying to kill.",Appeal to Emotion,Appeal to fear,86,0.9,0.1,0.8,0.9,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.3
"These terrorists are serious, they're deadly, and they know nothing except trying to kill.",Appeal to Emotion,Appeal to fear,87,0.9,0.2,0.6,0.9,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1
"But yes, I'm worried. I'm worried. I'm worried about our country.",Appeal to Emotion,Appeal to fear,88,0.3,0.7,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"But yes, I'm worried. I'm worried. I'm worried about our country.",Appeal to Emotion,Appeal to fear,89,0.2,0.6,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"But yes, I'm worried. I'm worried. I'm worried about our country.",Appeal to Emotion,Appeal to fear,90,0.3,0.7,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Families are under tremendous pressure. People do not -- do not feel safe in their homes. A mother doesn't feel safe sending her child to school. Our schools are not educating.,Appeal to Emotion,Appeal to fear,91,0.9,0.8,0.2,0.9,0.7,0.3,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.3
Families are under tremendous pressure. People do not -- do not feel safe in their homes. A mother doesn't feel safe sending her child to school. Our schools are not educating.,Appeal to Emotion,Appeal to fear,92,0.9,0.8,0.2,0.9,0.7,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.5
Families are under tremendous pressure. People do not -- do not feel safe in their homes. A mother doesn't feel safe sending her child to school. Our schools are not educating.,Appeal to Emotion,Appeal to fear,93,0.9,0.8,0.2,0.9,0.7,0.3,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.6
Families are under tremendous pressure. People do not -- do not feel safe in their homes. A mother doesn't feel safe sending her child to school. Our schools are not educating.,Appeal to Emotion,Appeal to fear,94,0.9,0.8,0.3,0.9,0.7,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.1,0.0,0.0,0.0,0.3
"But I want to warn my fellow citizens: The cost of doing nothing, the cost of saying the current system is OK, far exceeds the costs of trying to make sure we save the system for our children.",Appeal to Emotion,Appeal to fear,95,0.8,0.7,0.1,0.4,0.4,0.0,0.1,0.0,0.0,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"We went through this tragic experience leading to World War II. We learned our lesson again in Korea, We must not learn it again.",Appeal to Emotion,Appeal to fear,96,0.8,0.7,0.6,0.4,0.3,0.2,0.1,0.8,0.0,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
"We went through this tragic experience leading to World War II. We learned our lesson again in Korea, We must not learn it again.",Appeal to Emotion,Appeal to fear,97,0.8,0.4,0.5,0.3,0.3,0.0,0.2,0.8,0.0,0.2,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
"We went through this tragic experience leading to World War II. We learned our lesson again in Korea, We must not learn it again.",Appeal to Emotion,Appeal to fear,98,0.8,0.6,0.5,0.4,0.3,0.1,0.2,0.8,0.0,0.1,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
"Will it be a nightmare world threatened with the proliferation of atomic bombs, not just in five major countries but dozens of smaller countries that have been permitted to develop atomic weapons because of a failure of our top leadership to stop proliferation? Will we have a world of hunger and - and hatred, and will we be living in an armed camp stripped of our friendship and allies hiding behind a tight defense that's been drawn in around us because we are fearful of the outside world?",Appeal to Emotion,Appeal to fear,99,1.0,0.3,0.95,0.95,0.9,0.1,0.2,0.0,0.95,0.85,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
"Will it be a nightmare world threatened with the proliferation of atomic bombs, not just in five major countries but dozens of smaller countries that have been permitted to develop atomic weapons because of a failure of our top leadership to stop proliferation? Will we have a world of hunger and - and hatred, and will we be living in an armed camp stripped of our friendship and allies hiding behind a tight defense that's been drawn in around us because we are fearful of the outside world?",Appeal to Emotion,Appeal to fear,100,1.0,0.2,0.95,1.0,0.9,0.1,0.0,0.0,0.95,0.8,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1
